item_id,order_id,product_id,quantity,unit_price,item_discount,item_total,item_return_flag
ITM0000001,ORD000001,PRD0003,2,98.84,1.38,196.3,0
ITM0000002,ORD000001,PRD0012,4,109.67,2.31,436.37,0
ITM0000003,ORD000001,PRD0011,1,55.35,0.73,54.62,0
ITM0000004,ORD000002,PRD0048,1,171.75,0.36,171.39,0
ITM0000005,ORD000002,PRD0044,1,55.99,0.01,55.98,0
ITM0000006,ORD000002,PRD0022,2,106.81,7.17,206.45,0
ITM0000007,ORD000003,PRD0003,2,99.61,5.2,194.02,1
ITM0000008,ORD000004,PRD0024,1,130.53,7.8,122.73,0
ITM0000009,ORD000005,PRD0097,4,302.6,14.64,1195.76,0
ITM0000010,ORD000005,PRD0076,3,120.05,15.18,344.97,0
ITM0000011,ORD000005,PRD0096,5,82.77,20.76,393.09,0
ITM0000012,ORD000005,PRD0046,2,22.79,0.57,45.01,0
ITM0000013,ORD000005,PRD0011,2,56.17,0.82,111.52,0
ITM0000014,ORD000005,PRD0070,2,510.86,9.32,1012.4,0
ITM0000015,ORD000005,PRD0017,3,53.44,2.57,157.75,0
ITM0000016,ORD000005,PRD0040,1,145.54,7.39,138.15,0
ITM0000017,ORD000006,PRD0076,1,122.82,4.42,118.4,0
ITM0000018,ORD000006,PRD0061,3,367.24,49.86,1051.86,0
ITM0000019,ORD000006,PRD0085,1,205.56,13.85,191.71,0
ITM0000020,ORD000006,PRD0039,1,220.23,5.51,214.72,0
ITM0000021,ORD000007,PRD0081,1,746.51,28.99,717.52,0
ITM0000022,ORD000007,PRD0042,3,135.66,20.43,386.55,0
ITM0000023,ORD000007,PRD0106,2,31.5,2.27,60.73,0
ITM0000024,ORD000007,PRD0045,2,35.3,3.32,67.28,0
ITM0000025,ORD000007,PRD0089,1,1386.32,41.33,1344.99,0
ITM0000026,ORD000007,PRD0053,2,133.46,0.61,266.31,0
ITM0000027,ORD000007,PRD0014,3,14.75,2.32,41.93,0
ITM0000028,ORD000008,PRD0077,4,176.29,44.38,660.78,0
ITM0000029,ORD000008,PRD0087,4,592.73,121.68,2249.24,0
ITM0000030,ORD000008,PRD0003,3,100.36,7.64,293.44,0
ITM0000031,ORD000008,PRD0043,3,58.8,5.07,171.33,0
ITM0000032,ORD000008,PRD0064,1,182.92,7.34,175.58,0
ITM0000033,ORD000008,PRD0091,1,132.98,3.51,129.47,0
ITM0000034,ORD000009,PRD0004,3,225.53,36.22,640.37,0
ITM0000035,ORD000009,PRD0096,1,88.05,3.73,84.32,0
ITM0000036,ORD000009,PRD0052,1,78.37,1.95,76.42,0
ITM0000037,ORD000009,PRD0016,2,36.56,2.88,70.24,0
ITM0000038,ORD000010,PRD0050,1,236.57,8.1,228.47,0
ITM0000039,ORD000010,PRD0005,1,118.93,2.05,116.88,1
ITM0000040,ORD000011,PRD0013,3,10.32,1.28,29.68,0
ITM0000041,ORD000011,PRD0087,1,565.5,9.46,556.04,0
ITM0000042,ORD000011,PRD0011,2,53.51,4.53,102.49,0
ITM0000043,ORD000012,PRD0049,3,152.26,17.64,439.14,0
ITM0000044,ORD000012,PRD0078,3,277.36,40.49,791.59,0
ITM0000045,ORD000012,PRD0041,1,215.97,1.26,214.71,0
ITM0000046,ORD000012,PRD0082,1,707.53,28.05,679.48,0
ITM0000047,ORD000013,PRD0047,1,99.14,1.25,97.89,0
ITM0000048,ORD000014,PRD0078,1,275.59,24.48,251.11,0
ITM0000049,ORD000015,PRD0062,2,232.69,33.36,432.02,0
ITM0000050,ORD000015,PRD0043,2,55.95,6.51,105.39,0
