order_id,customer_id,order_date,order_month,order_quarter,delivery_date,channel,city,order_status,payment_method,delivery_slot,promo_code,promo_discount_amt,gross_order_value,net_order_value
ORD000001,CUST00001,2023-12-17,12,4,2023-12-20,Web,Jaipur,Delivered,Credit Card,Afternoon 10-2 PM,,0.0,691.71,691.71
ORD000002,CUST00002,2023-08-26,8,3,2023-08-29,App,Jaipur,Delivered,UPI,Evening 4-8 PM,,0.0,441.36,441.36
ORD000003,CUST00002,2023-10-14,10,4,2023-10-16,App,Jaipur,Delivered,Debit Card,Late Night 8-11 PM,,0.0,199.22,199.22
ORD000004,CUST00002,2023-08-05,8,3,2023-08-07,App,Jaipur,Delivered,UPI,Morning 6-10 AM,,0.0,130.53,130.53
ORD000005,CUST00002,2023-12-03,12,4,2023-12-04,Web,Jaipur,Delivered,Credit Card,Morning 6-10 AM,,0.0,3469.9,3469.9
ORD000006,CUST00002,2023-11-11,11,4,,Web,Jaipur,Cancelled,UPI,Morning 6-10 AM,,0.0,1650.33,0.0
ORD000007,CUST00002,2023-07-04,7,3,2023-07-05,App,Jaipur,Delivered,UPI,Afternoon 10-2 PM,,0.0,2984.58,2984.58
ORD000008,CUST00002,2023-11-27,11,4,2023-11-30,App,Jaipur,Delivered,Debit Card,Morning 6-10 AM,,0.0,3869.46,3869.46
ORD000009,CUST00002,2023-01-16,1,1,2023-01-17,Kiosk,Jaipur,Delivered,Debit Card,Evening 4-8 PM,,0.0,916.13,916.13
ORD000010,CUST00002,2023-05-07,5,2,2023-05-09,Web,Jaipur,Delivered,UPI,Afternoon 10-2 PM,,0.0,355.5,355.5
ORD000011,CUST00002,2023-11-14,11,4,2023-11-17,App,Jaipur,Delivered,Debit Card,Afternoon 10-2 PM,DIWALI23SUPER,47.39,703.48,656.09
ORD000012,CUST00002,2023-03-13,3,1,2023-03-16,Web,Jaipur,Delivered,COD,Evening 4-8 PM,,0.0,2212.36,2212.36
ORD000013,CUST00003,2023-04-04,4,2,2023-04-07,Web,Jaipur,Delivered,UPI,Morning 6-10 AM,,0.0,99.14,99.14
ORD000014,CUST00004,2023-08-22,8,3,,Kiosk,Bengaluru,Cancelled,Debit Card,Late Night 8-11 PM,,0.0,275.59,0.0
ORD000015,CUST00004,2023-07-01,7,3,2023-07-03,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,735.23,735.23
ORD000016,CUST00004,2023-12-16,12,4,2023-12-17,Web,Bengaluru,Delivered,Debit Card,Evening 4-8 PM,,0.0,3408.15,3408.15
ORD000017,CUST00004,2023-09-22,9,3,2023-09-25,Web,Bengaluru,Delivered,Credit Card,Evening 4-8 PM,,0.0,752.51,752.51
ORD000018,CUST00004,2023-10-28,10,4,2023-10-29,App,Bengaluru,Delivered,Debit Card,Evening 4-8 PM,,0.0,1125.49,1125.49
ORD000019,CUST00004,2023-01-17,1,1,2023-01-18,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,2169.32,2169.32
ORD000020,CUST00004,2023-11-13,11,4,2023-11-16,Web,Bengaluru,Delivered,UPI,Morning 6-10 AM,DIWALI23SUPER,196.41,1180.22,983.81
ORD000021,CUST00004,2023-08-16,8,3,2023-08-17,App,Bengaluru,Delivered,Debit Card,Evening 4-8 PM,FREEDOM23,429.32,3144.56,2715.24
ORD000022,CUST00004,2023-10-10,10,4,2023-10-12,App,Bengaluru,Delivered,Credit Card,Morning 6-10 AM,,0.0,4309.96,4309.96
ORD000023,CUST00004,2023-03-06,3,1,2023-03-09,App,Bengaluru,Delivered,Wallet,Afternoon 10-2 PM,,0.0,1484.92,1484.92
ORD000024,CUST00004,2023-10-08,10,4,2023-10-10,App,Bengaluru,Delivered,COD,Late Night 8-11 PM,,0.0,1490.9,1490.9
ORD000025,CUST00004,2023-01-08,1,1,2023-01-10,App,Bengaluru,Delivered,Credit Card,Morning 6-10 AM,,0.0,1498.46,1498.46
ORD000026,CUST00004,2023-04-25,4,2,2023-04-27,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,2168.85,2168.85
ORD000027,CUST00004,2023-09-29,9,3,2023-10-02,App,Bengaluru,Delivered,Credit Card,Evening 4-8 PM,,0.0,1527.08,1527.08
ORD000028,CUST00004,2023-01-31,1,1,2023-02-01,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,3241.33,3241.33
ORD000029,CUST00004,2023-08-26,8,3,2023-08-28,App,Bengaluru,Delivered,Debit Card,Late Night 8-11 PM,,0.0,2060.79,2060.79
ORD000030,CUST00004,2023-03-24,3,1,2023-03-27,App,Bengaluru,Delivered,COD,Morning 6-10 AM,,0.0,1479.62,1479.62
ORD000031,CUST00004,2023-04-09,4,2,2023-04-10,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,2155.77,2155.77
ORD000032,CUST00004,2023-12-19,12,4,2023-12-22,App,Bengaluru,Delivered,Credit Card,Morning 6-10 AM,,0.0,936.36,936.36
ORD000033,CUST00004,2023-09-01,9,3,2023-09-04,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,2160.9,2160.9
ORD000034,CUST00004,2023-03-21,3,1,2023-03-24,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,1252.63,1252.63
ORD000035,CUST00006,2023-06-19,6,2,2023-06-20,App,Hyderabad,Delivered,UPI,Evening 4-8 PM,,0.0,817.54,817.54
ORD000036,CUST00010,2023-05-13,5,2,,App,Mumbai,Cancelled,Credit Card,Late Night 8-11 PM,,0.0,156.68,0.0
ORD000037,CUST00011,2023-03-12,3,1,2023-03-13,App,Jaipur,Delivered,UPI,Evening 4-8 PM,,0.0,806.38,806.38
ORD000038,CUST00011,2023-01-28,1,1,2023-01-30,App,Jaipur,Delivered,UPI,Morning 6-10 AM,,0.0,1610.82,1610.82
ORD000039,CUST00011,2023-03-25,3,1,2023-03-28,App,Jaipur,Delivered,Wallet,Evening 4-8 PM,,0.0,1123.28,1123.28
ORD000040,CUST00011,2023-10-14,10,4,2023-10-15,App,Jaipur,Delivered,Debit Card,Morning 6-10 AM,,0.0,402.23,402.23
ORD000041,CUST00011,2023-12-17,12,4,2023-12-18,Web,Jaipur,Delivered,Credit Card,Evening 4-8 PM,,0.0,1719.87,1719.87
ORD000042,CUST00014,2023-02-13,2,1,2023-02-15,Web,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,1753.25,1753.25
ORD000043,CUST00014,2023-07-25,7,3,2023-07-27,Web,Bengaluru,Returned,Credit Card,,,0.0,1062.47,519.29
ORD000044,CUST00014,2023-01-17,1,1,2023-01-19,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,1357.63,1357.63
ORD000045,CUST00014,2023-09-19,9,3,2023-09-22,App,Bengaluru,Delivered,Debit Card,Late Night 8-11 PM,,0.0,1388.12,1388.12
ORD000046,CUST00014,2023-03-29,3,1,2023-03-31,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,644.69,644.69
ORD000047,CUST00014,2023-12-07,12,4,2023-12-08,App,Bengaluru,Delivered,COD,Evening 4-8 PM,,0.0,1619.06,1619.06
ORD000048,CUST00014,2023-07-04,7,3,2023-07-07,Web,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,819.24,819.24
ORD000049,CUST00014,2023-12-26,12,4,2023-12-29,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,XMAS23,164.93,1513.07,1348.14
ORD000050,CUST00014,2023-05-06,5,2,,App,Bengaluru,Cancelled,COD,Morning 6-10 AM,,0.0,2121.29,0.0
ORD000051,CUST00014,2023-10-18,10,4,2023-10-21,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,1543.17,1543.17
ORD000052,CUST00014,2023-12-10,12,4,2023-12-13,Web,Bengaluru,Delivered,COD,Afternoon 10-2 PM,,0.0,4324.92,4324.92
ORD000053,CUST00014,2023-05-29,5,2,,App,Bengaluru,Cancelled,Credit Card,Morning 6-10 AM,,0.0,1361.37,0.0
ORD000054,CUST00015,2023-05-11,5,2,2023-05-12,App,Hyderabad,Delivered,UPI,Evening 4-8 PM,,0.0,3408.22,3408.22
ORD000055,CUST00015,2023-11-05,11,4,2023-11-06,App,Hyderabad,Delivered,UPI,Afternoon 10-2 PM,,0.0,1143.08,1143.08
ORD000056,CUST00015,2023-05-10,5,2,2023-05-11,App,Hyderabad,Delivered,UPI,Late Night 8-11 PM,,0.0,289.41,289.41
ORD000057,CUST00015,2023-12-28,12,4,2023-12-31,App,Hyderabad,Delivered,Debit Card,Evening 4-8 PM,XMAS23,160.81,1044.32,883.51
ORD000058,CUST00015,2023-04-29,4,2,2023-05-02,Kiosk,Hyderabad,Delivered,Debit Card,Morning 6-10 AM,,0.0,646.15,646.15
ORD000059,CUST00018,2023-03-21,3,1,2023-03-23,App,Bengaluru,Delivered,UPI,Late Night 8-11 PM,,0.0,517.59,517.59
